,ic_mean,icir,t-stat
low24,0.011721988579316498,0.06362789796425962,4.049254631085633
low25,0.011889072903433802,0.06464560499258558,4.114021109774778
low26,0.011570370658658766,0.06293028213103426,4.004858631315325
low27,0.011930847133369542,0.06483714765038016,4.126210809873951
low28,0.011716562098281626,0.0637136388501885,4.0547111476535065
low29,0.011849175789419632,0.06440088654365153,4.098447323049733
low30,0.011554138289719797,0.06273322923620596,3.9923182618786273
low31,0.01147155060092769,0.0621680316219469,3.956349305960854
low32,0.011302994497895883,0.061303902333742784,3.9013564548048607
low33,0.010838593135326932,0.05874523006432968,3.7385235486766226
low34,0.010604446189571686,0.05760710620223069,3.666093789611785
low35,0.010275906557061312,0.05584236792440953,3.553786533317772
low36,0.010182698274214023,0.055389725272720666,3.5249805313560607
low37,0.009458278458673766,0.051590653990890904,3.2832091154527
low38,0.009303608314441714,0.05082870159246468,3.234718761744532
low39,0.009430579228078238,0.051500582638601015,3.277477009693166
low40,0.00926686500587652,0.05049598174507728,3.2135446003154633
low41,0.008994474124061956,0.04911564201145061,3.125700317576485
low42,0.008809171606208215,0.04825655873060355,3.0710285923622997
low43,0.008666425745806998,0.04749145123555478,3.0223374495345925
low44,0.008650419673938141,0.04748767833656725,3.022097343713299
low45,0.009030985237264724,0.04974866978161575,3.1659859581831697
low46,0.008951103234580659,0.049364308584422846,3.141525361376763
low47,0.008854435474651094,0.04892823461397705,3.113773783832658
low48,0.008912799180716784,0.04935621831527104,3.1410104998006645
low49,0.008660025195215124,0.047957699652917005,3.0520093171216818
low50,0.00853299421722728,0.04742223296410421,3.0179324257133686
low51,0.007932186748577272,0.04420134010819652,2.8129560595234815
low52,0.008063469666302723,0.04501060387054075,2.8644572899944745
low53,0.007667105204715308,0.04281462758414008,2.7247062148849857
low54,0.007352199645152524,0.041167069998936885,2.6198562922046595
low55,0.007388357619919275,0.041360585346155165,2.632171533490014
low56,0.007369690694584808,0.0413488446198574,2.6314243582437054
low57,0.0069714581951668105,0.03921112320975393,2.4953806007602406
low58,0.006714667849404647,0.03779979183054354,2.405564021773548
low59,0.006556645242639205,0.03693975753511117,2.3508317743617577
low60,0.00654489401053036,0.03691876196094116,2.3494956242034113
vol1,0.006743928181034224,0.06135500573428758,3.904608655300883
vol2,0.0031470920585135193,0.027633726643627527,1.758599594924796
vol3,-0.0015767672258160208,-0.013963228427113073,-0.8886144157261582
vol4,0.008588920898978766,0.07379073448446401,4.696013586843047
vol5,0.009658330452002307,0.08253504914522392,5.252498364253752
vol6,0.007694640332414605,0.06555472019958934,4.171876847272474
vol7,0.00598854025052281,0.05135297892842533,3.2680835670977495
vol8,0.003619732744609502,0.03111639142938628,1.9802350247196607
vol9,0.003712162290770308,0.032108939463401494,2.043400394815159
vol10,0.004955531761143185,0.04286204052977531,2.7277235562687085
vol11,0.005215390945214013,0.04481845914495202,2.8522292745355027
vol12,0.005352558601767932,0.04632301025635311,2.947978320951715
vol13,0.0035332470498363098,0.030312119916215213,1.9290514990406022
vol14,0.00402242866074143,0.03423988756545535,2.1790131016138585
vol15,0.004140108866038813,0.03551628445742897,2.260242502415857
vol16,0.0036056746103003724,0.0310179985247213,1.9739733386098282
vol17,0.004712313327665825,0.04036391908447386,2.5687440809906907
vol18,0.0034113636263133026,0.029253194833044012,1.8616619194035027
vol19,0.004349333878315363,0.037317924129677084,2.374898149070978
vol20,0.00420121619222868,0.03609883896575027,2.2973160443078875
vol21,0.003728414632723151,0.032004627674039526,2.0367620331897593
vol22,0.0050353024400814385,0.04296981610206755,2.734582351689978
vol23,0.004815400205544843,0.04121606195670488,2.6229741213051816
vol24,0.005230735054089551,0.04482742325326765,2.852799746895457
vol25,0.006791374477945157,0.05806752459887967,3.6953946369526025
vol26,0.006163326521722278,0.05270530351654533,3.3541449768939953
vol27,0.004813078314070762,0.04141542365382175,2.635661422019799
vol28,0.005547101153871255,0.04823462522393758,3.069632752545416
vol29,0.0053156439613700444,0.04574175219574507,2.910987284486939
